0 0 1
0.01 0.01 1
0.02 0.02 0.9999
0.03 0.029999 0.9997
0.04 0.039996 0.9994
0.05 0.04999 0.999
0.06 0.05998 0.9985
0.07 0.069965 0.9979
0.08 0.079944 0.997201
0.09 0.089916 0.996401
0.1 0.09988 0.995502
0.11 0.109835 0.994503
0.12 0.11978 0.993405
0.13 0.129714 0.992207
0.14 0.139636 0.99091
0.15 0.149545 0.989514
0.16 0.15944 0.988018
0.17 0.169321 0.986424
0.18 0.179185 0.984731
0.19 0.189032 0.982939
0.2 0.198862 0.981048
0.21 0.208672 0.97906
0.22 0.218463 0.976973
0.23 0.228232 0.974788
0.24 0.23798 0.972506
0.25 0.247705 0.970126
0.26 0.257407 0.967649
0.27 0.267083 0.965075
0.28 0.276734 0.962404
0.29 0.286358 0.959637
0.3 0.295954 0.956773
0.31 0.305522 0.953814
0.32 0.31506 0.950759
0.33 0.324568 0.947608
0.34 0.334044 0.944362
0.35 0.343487 0.941022
0.36 0.352898 0.937587
0.37 0.362273 0.934058
0.38 0.371614 0.930435
0.39 0.380918 0.926719
0.4 0.390186 0.92291
0.41 0.399415 0.919008
0.42 0.408605 0.915014
0.43 0.417755 0.910928
0.44 0.426864 0.90675
0.45 0.435932 0.902482
0.46 0.444957 0.898123
0.47 0.453938 0.893673
0.48 0.462874 0.889134
0.49 0.471766 0.884505
0.5 0.480611 0.879787
0.51 0.489409 0.874981
0.52 0.498159 0.870087
0.53 0.506859 0.865105
0.54 0.51551 0.860037
0.55 0.524111 0.854882
0.56 0.53266 0.849641
0.57 0.541156 0.844314
0.58 0.549599 0.838902
0.59 0.557988 0.833406
0.6 0.566322 0.827827
0.61 0.574601 0.822163
0.62 0.582822 0.816417
0.63 0.590986 0.810589
0.64 0.599092 0.804679
0.65 0.607139 0.798688
0.66 0.615126 0.792617
0.67 0.623052 0.786466
0.68 0.630917 0.780235
0.69 0.638719 0.773926
0.7 0.646458 0.767539
0.71 0.654134 0.761074
0.72 0.661745 0.754533
0.73 0.66929 0.747915
0.74 0.676769 0.741223
0.75 0.684181 0.734455
0.76 0.691526 0.727613
0.77 0.698802 0.720698
0.78 0.706009 0.71371
0.79 0.713146 0.70665
0.8 0.720212 0.699518
0.81 0.727208 0.692316
0.82 0.734131 0.685044
0.83 0.740981 0.677703
0.84 0.747758 0.670293
0.85 0.754461 0.662815
0.86 0.761089 0.655271
0.87 0.767642 0.64766
0.88 0.774119 0.639983
0.89 0.780518 0.632242
0.9 0.786841 0.624437
0.91 0.793085 0.616569
0.92 0.799251 0.608638
0.93 0.805337 0.600645
0.94 0.811344 0.592592
0.95 0.81727 0.584478
0.96 0.823115 0.576306
0.97 0.828878 0.568075
0.98 0.834558 0.559786
0.99 0.840156 0.55144
1 0.845671 0.543039
1.01 0.851101 0.534582
1.02 0.856447 0.526071
1.03 0.861707 0.517506
1.04 0.866883 0.508889
1.05 0.871971 0.500221
1.06 0.876974 0.491501
1.07 0.881889 0.482731
1.08 0.886716 0.473912
1.09 0.891455 0.465045
1.1 0.896106 0.456131
1.11 0.900667 0.447169
1.12 0.905139 0.438163
1.13 0.90952 0.429111
1.14 0.913811 0.420016
1.15 0.918011 0.410878
1.16 0.92212 0.401698
1.17 0.926137 0.392477
1.18 0.930062 0.383215
1.19 0.933894 0.373915
1.2 0.937633 0.364576
1.21 0.941279 0.355199
1.22 0.944831 0.345787
1.23 0.948289 0.336338
1.24 0.951652 0.326856
1.25 0.954921 0.317339
1.26 0.958094 0.30779
1.27 0.961172 0.298209
1.28 0.964154 0.288597
1.29 0.96704 0.278956
1.3 0.96983 0.269285
1.31 0.972523 0.259587
1.32 0.975118 0.249862
1.33 0.977617 0.24011
1.34 0.980018 0.230334
1.35 0.982322 0.220534
1.36 0.984527 0.210711
1.37 0.986634 0.200866
1.38 0.988643 0.190999
1.39 0.990553 0.181113
1.4 0.992364 0.171207
1.41 0.994076 0.161284
1.42 0.995689 0.151343
1.43 0.997202 0.141386
1.44 0.998616 0.131414
1.45 0.99993 0.121428
1.46 1.00114 0.111429
1.47 1.00226 0.101417
1.48 1.00327 0.0913945
1.49 1.00419 0.0813618
1.5 1.005 0.0713199
1.51 1.00571 0.0612699
1.52 1.00633 0.0512128
1.53 1.00684 0.0411495
1.54 1.00725 0.0310812
1.55 1.00756 0.0210087
1.56 1.00777 0.0109331
1.57 1.00788 0.000855345
1.58 1.00789 -0.00922346
1.59 1.0078 -0.0193023
1.6 1.0076 -0.0293803
1.61 1.00731 -0.0394563
1.62 1.00692 -0.0495294
1.63 1.00642 -0.0595986
1.64 1.00582 -0.0696628
1.65 1.00513 -0.079721
1.66 1.00433 -0.0897723
1.67 1.00343 -0.0998156
1.68 1.00243 -0.10985
1.69 1.00134 -0.119874
1.7 1.00014 -0.129888
1.71 0.998838 -0.139889
1.72 0.997439 -0.149877
1.73 0.99594 -0.159852
1.74 0.994342 -0.169811
1.75 0.992644 -0.179755
1.76 0.990846 -0.189681
1.77 0.988949 -0.199589
1.78 0.986953 -0.209479
1.79 0.984859 -0.219348
1.8 0.982665 -0.229197
1.81 0.980373 -0.239024
1.82 0.977983 -0.248827
1.83 0.975495 -0.258607
1.84 0.972909 -0.268362
1.85 0.970225 -0.278091
1.86 0.967444 -0.287794
1.87 0.964566 -0.297468
1.88 0.961591 -0.307114
1.89 0.95852 -0.31673
1.9 0.955353 -0.326315
1.91 0.95209 -0.335868
1.92 0.948731 -0.345389
1.93 0.945277 -0.354877
1.94 0.941729 -0.364329
1.95 0.938085 -0.373747
1.96 0.934348 -0.383127
1.97 0.930516 -0.392471
1.98 0.926592 -0.401776
1.99 0.922574 -0.411042
2 0.918464 -0.420268
2.01 0.914261 -0.429452
2.02 0.909966 -0.438595
2.03 0.90558 -0.447695
2.04 0.901103 -0.45675
2.05 0.896536 -0.465761
2.06 0.891878 -0.474727
2.07 0.887131 -0.483646
2.08 0.882295 -0.492517
2.09 0.877369 -0.50134
2.1 0.872356 -0.510114
2.11 0.867255 -0.518837
2.12 0.862067 -0.52751
2.13 0.856791 -0.53613
2.14 0.85143 -0.544698
2.15 0.845983 -0.553213
2.16 0.840451 -0.561672
2.17 0.834834 -0.570077
2.18 0.829134 -0.578425
2.19 0.823349 -0.586717
2.2 0.817482 -0.59495
2.21 0.811533 -0.603125
2.22 0.805501 -0.61124
2.23 0.799389 -0.619295
2.24 0.793196 -0.627289
2.25 0.786923 -0.635221
2.26 0.780571 -0.64309
2.27 0.77414 -0.650896
2.28 0.767631 -0.658637
2.29 0.761045 -0.666314
2.3 0.754382 -0.673924
2.31 0.747642 -0.681468
2.32 0.740828 -0.688944
2.33 0.733938 -0.696353
2.34 0.726975 -0.703692
2.35 0.719938 -0.710962
2.36 0.712828 -0.718161
2.37 0.705647 -0.72529
2.38 0.698394 -0.732346
2.39 0.69107 -0.73933
2.4 0.683677 -0.746241
2.41 0.676214 -0.753077
2.42 0.668684 -0.75984
2.43 0.661085 -0.766526
2.44 0.65342 -0.773137
2.45 0.645689 -0.779671
2.46 0.637892 -0.786128
2.47 0.630031 -0.792507
2.48 0.622106 -0.798808
2.49 0.614117 -0.805029
2.5 0.606067 -0.81117
2.51 0.597956 -0.81723
2.52 0.589783 -0.82321
2.53 0.581551 -0.829108
2.54 0.57326 -0.834923
2.55 0.564911 -0.840656
2.56 0.556504 -0.846305
2.57 0.548041 -0.85187
2.58 0.539522 -0.85735
2.59 0.530949 -0.862746
2.6 0.522322 -0.868055
2.61 0.513641 -0.873278
2.62 0.504908 -0.878415
2.63 0.496124 -0.883464
2.64 0.487289 -0.888425
2.65 0.478405 -0.893298
2.66 0.469472 -0.898082
2.67 0.460491 -0.902777
2.68 0.451464 -0.907382
2.69 0.44239 -0.911896
2.7 0.433271 -0.91632
2.71 0.424108 -0.920653
2.72 0.414901 -0.924894
2.73 0.405652 -0.929043
2.74 0.396362 -0.9331
2.75 0.387031 -0.937063
2.76 0.37766 -0.940934
2.77 0.368251 -0.94471
2.78 0.358804 -0.948393
2.79 0.34932 -0.951981
2.8 0.3398 -0.955474
2.81 0.330245 -0.958872
2.82 0.320656 -0.962174
2.83 0.311035 -0.965381
2.84 0.301381 -0.968491
2.85 0.291696 -0.971505
2.86 0.281981 -0.974422
2.87 0.272237 -0.977242
2.88 0.262464 -0.979964
2.89 0.252665 -0.982589
2.9 0.242839 -0.985115
2.91 0.232988 -0.987544
2.92 0.223112 -0.989874
2.93 0.213213 -0.992105
2.94 0.203292 -0.994237
2.95 0.19335 -0.99627
2.96 0.183387 -0.998203
2.97 0.173405 -1.00004
2.98 0.163405 -1.00177
2.99 0.153387 -1.00341
3 0.143353 -1.00494
3.01 0.133304 -1.00637
3.02 0.12324 -1.00771
3.03 0.113163 -1.00894
3.04 0.103074 -1.01007
3.05 0.0929729 -1.0111
3.06 0.0828619 -1.01203
3.07 0.0727416 -1.01286
3.08 0.062613 -1.01359
3.09 0.0524771 -1.01421
3.1 0.042335 -1.01474
3.11 0.0321876 -1.01516
3.12 0.022036 -1.01548
3.13 0.0118812 -1.0157
3.14 0.00172417 -1.01582
3.15 -0.00843405 -1.01584
3.16 -0.0185924 -1.01575
3.17 -0.02875 -1.01557
3.18 -0.0389057 -1.01528
3.19 -0.0490585 -1.01489
3.2 -0.0592074 -1.0144
3.21 -0.0693514 -1.01381
3.22 -0.0794895 -1.01312
3.23 -0.0896207 -1.01232
3.24 -0.0997439 -1.01142
3.25 -0.109858 -1.01043
3.26 -0.119962 -1.00933
3.27 -0.130056 -1.00813
3.28 -0.140137 -1.00683
3.29 -0.150205 -1.00543
3.3 -0.16026 -1.00393
3.31 -0.170299 -1.00232
3.32 -0.180322 -1.00062
3.33 -0.190328 -0.998816
3.34 -0.200316 -0.996913
3.35 -0.210286 -0.99491
3.36 -0.220235 -0.992807
3.37 -0.230163 -0.990605
3.38 -0.240069 -0.988303
3.39 -0.249952 -0.985902
3.4 -0.259811 -0.983403
3.41 -0.269645 -0.980805
3.42 -0.279453 -0.978108
3.43 -0.289234 -0.975314
3.44 -0.298987 -0.972421
3.45 -0.308711 -0.969432
3.46 -0.318406 -0.966344
3.47 -0.328069 -0.96316
3.48 -0.337701 -0.95988
3.49 -0.347299 -0.956503
3.5 -0.356864 -0.95303
3.51 -0.366395 -0.949461
3.52 -0.375889 -0.945797
3.53 -0.385347 -0.942038
3.54 -0.394768 -0.938185
3.55 -0.40415 -0.934237
3.56 -0.413492 -0.930196
3.57 -0.422794 -0.926061
3.58 -0.432055 -0.921833
3.59 -0.441273 -0.917512
3.6 -0.450448 -0.913099
3.61 -0.459579 -0.908595
3.62 -0.468665 -0.903999
3.63 -0.477705 -0.899313
3.64 -0.486698 -0.894535
3.65 -0.495643 -0.889669
3.66 -0.50454 -0.884712
3.67 -0.513387 -0.879667
3.68 -0.522184 -0.874533
3.69 -0.530929 -0.869311
3.7 -0.539622 -0.864002
3.71 -0.548262 -0.858605
3.72 -0.556848 -0.853123
3.73 -0.56538 -0.847554
3.74 -0.573855 -0.841901
3.75 -0.582274 -0.836162
